"Plot Title: Huancaro"
"#","Date Time, GMT-05:00","Event, units (LGR S/N: 20652619, SEN S/N: 20652619)","Coupler Attached (LGR S/N: 20652619)","Host Connected (LGR S/N: 20652619)","End Of File (LGR S/N: 20652619)"
1,12/26/19 05:30:00 PM,0.00,,,
2,12/28/19 09:00:26 PM,1.00,,,
3,12/29/19 06:32:37 AM,2.00,,,
4,12/29/19 02:20:48 PM,3.00,,,
5,12/29/19 03:23:09 PM,4.00,,,
6,12/29/19 05:04:02 PM,5.00,,,
7,12/29/19 07:49:55 PM,6.00,,,
8,12/29/19 08:18:16 PM,7.00,,,
9,12/29/19 08:31:35 PM,8.00,,,
10,12/29/19 08:36:31 PM,9.00,,,
11,12/29/19 08:41:10 PM,10.00,,,
12,12/29/19 08:47:06 PM,11.00,,,
13,12/29/19 08:52:40 PM,12.00,,,
14,12/29/19 08:56:14 PM,13.00,,,
15,12/29/19 08:58:42 PM,14.00,,,
16,12/29/19 09:00:54 PM,15.00,,,
17,12/29/19 09:03:04 PM,16.00,,,
18,12/29/19 09:06:35 PM,17.00,,,
19,12/29/19 09:34:49 PM,18.00,,,
20,12/30/19 07:15:51 AM,19.00,,,
21,12/31/19 08:51:36 PM,20.00,,,
22,12/31/19 08:58:50 PM,21.00,,,
23,12/31/19 09:01:15 PM,22.00,,,
24,12/31/19 09:02:29 PM,23.00,,,
25,12/31/19 09:04:34 PM,24.00,,,
26,12/31/19 09:05:22 PM,25.00,,,
27,12/31/19 09:06:18 PM,26.00,,,
28,12/31/19 09:07:11 PM,27.00,,,
29,12/31/19 09:08:33 PM,28.00,,,
30,12/31/19 09:09:07 PM,29.00,,,
31,12/31/19 09:10:02 PM,30.00,,,
32,12/31/19 09:10:44 PM,31.00,,,
33,12/31/19 09:11:46 PM,32.00,,,
34,12/31/19 09:12:16 PM,33.00,,,
35,12/31/19 09:12:58 PM,34.00,,,
36,12/31/19 09:13:20 PM,35.00,,,
37,12/31/19 09:14:11 PM,36.00,,,
38,12/31/19 09:14:47 PM,37.00,,,
39,12/31/19 09:15:35 PM,38.00,,,
40,12/31/19 09:16:07 PM,39.00,,,
41,12/31/19 09:16:55 PM,40.00,,,
42,12/31/19 09:17:36 PM,41.00,,,
43,12/31/19 09:18:46 PM,42.00,,,
44,12/31/19 09:19:43 PM,43.00,,,
45,12/31/19 09:21:01 PM,44.00,,,
46,12/31/19 09:22:04 PM,45.00,,,
47,12/31/19 09:23:31 PM,46.00,,,
48,12/31/19 09:25:01 PM,47.00,,,
49,12/31/19 09:27:03 PM,48.00,,,
50,12/31/19 09:29:09 PM,49.00,,,
51,12/31/19 09:32:21 PM,50.00,,,
52,12/31/19 09:34:35 PM,51.00,,,
53,12/31/19 09:37:14 PM,52.00,,,
54,12/31/19 09:39:01 PM,53.00,,,
55,12/31/19 09:43:04 PM,54.00,,,
56,12/31/19 09:46:51 PM,55.00,,,
57,12/31/19 09:50:21 PM,56.00,,,
58,12/31/19 09:53:28 PM,57.00,,,
59,12/31/19 09:56:17 PM,58.00,,,
60,12/31/19 09:59:10 PM,59.00,,,
61,12/31/19 10:02:39 PM,60.00,,,
62,12/31/19 10:05:55 PM,61.00,,,
63,12/31/19 10:10:25 PM,62.00,,,
64,12/31/19 10:13:19 PM,63.00,,,
65,12/31/19 10:16:41 PM,64.00,,,
66,12/31/19 10:18:27 PM,65.00,,,
67,12/31/19 10:20:22 PM,66.00,,,
68,12/31/19 10:21:55 PM,67.00,,,
69,12/31/19 10:23:34 PM,68.00,,,
70,12/31/19 10:24:57 PM,69.00,,,
71,12/31/19 10:26:58 PM,70.00,,,
72,12/31/19 10:28:02 PM,71.00,,,
73,12/31/19 10:29:17 PM,72.00,,,
74,12/31/19 10:30:05 PM,73.00,,,
75,12/31/19 10:31:52 PM,74.00,,,
76,12/31/19 10:33:14 PM,75.00,,,
77,12/31/19 10:34:42 PM,76.00,,,
78,12/31/19 10:35:53 PM,77.00,,,
79,12/31/19 10:37:21 PM,78.00,,,
80,12/31/19 10:38:51 PM,79.00,,,
81,12/31/19 10:40:40 PM,80.00,,,
82,12/31/19 10:42:00 PM,81.00,,,
83,12/31/19 10:44:10 PM,82.00,,,
84,12/31/19 10:46:16 PM,83.00,,,
85,12/31/19 10:48:07 PM,84.00,,,
86,12/31/19 10:49:24 PM,85.00,,,
87,12/31/19 10:52:21 PM,86.00,,,
88,12/31/19 10:54:45 PM,87.00,,,
89,12/31/19 10:57:09 PM,88.00,,,
90,12/31/19 10:59:06 PM,89.00,,,
91,12/31/19 11:01:26 PM,90.00,,,
92,12/31/19 11:03:08 PM,91.00,,,
93,12/31/19 11:06:28 PM,92.00,,,
94,12/31/19 11:09:36 PM,93.00,,,
95,12/31/19 11:14:55 PM,94.00,,,
96,12/31/19 11:18:05 PM,95.00,,,
97,12/31/19 11:20:49 PM,96.00,,,
98,12/31/19 11:23:33 PM,97.00,,,
99,12/31/19 11:26:24 PM,98.00,,,
100,12/31/19 11:28:41 PM,99.00,,,
101,12/31/19 11:32:42 PM,100.00,,,
102,12/31/19 11:35:34 PM,101.00,,,
103,12/31/19 11:39:10 PM,102.00,,,
104,12/31/19 11:42:14 PM,103.00,,,
105,12/31/19 11:46:39 PM,104.00,,,
106,12/31/19 11:49:49 PM,105.00,,,
107,12/31/19 11:54:12 PM,106.00,,,
108,12/31/19 11:58:04 PM,107.00,,,
109,01/01/20 12:01:49 AM,108.00,,,
110,01/01/20 12:04:20 AM,109.00,,,
111,01/01/20 12:07:16 AM,110.00,,,
112,01/01/20 12:10:02 AM,111.00,,,
113,01/01/20 12:15:00 AM,112.00,,,
114,01/01/20 12:20:01 AM,113.00,,,
115,01/01/20 12:32:29 AM,114.00,,,
116,01/01/20 12:40:18 AM,115.00,,,
117,01/01/20 12:56:04 AM,116.00,,,
118,01/01/20 01:16:58 AM,117.00,,,
119,01/01/20 05:29:36 AM,118.00,,,
120,01/01/20 08:34:38 PM,119.00,,,
121,01/01/20 08:36:35 PM,120.00,,,
122,01/01/20 08:46:28 PM,121.00,,,
123,01/01/20 10:12:18 PM,122.00,,,
124,01/01/20 10:31:53 PM,123.00,,,
125,01/01/20 10:45:49 PM,124.00,,,
126,01/01/20 10:47:24 PM,125.00,,,
127,01/01/20 10:49:52 PM,126.00,,,
128,01/01/20 10:51:06 PM,127.00,,,
129,01/01/20 10:55:14 PM,128.00,,,
130,01/01/20 11:00:54 PM,129.00,,,
131,01/01/20 11:11:54 PM,130.00,,,
132,01/01/20 11:18:22 PM,131.00,,,
133,01/01/20 11:22:46 PM,132.00,,,
134,01/01/20 11:26:02 PM,133.00,,,
135,01/01/20 11:35:35 PM,134.00,,,
136,01/01/20 11:53:42 PM,135.00,,,
137,01/02/20 12:18:00 AM,136.00,,,
138,01/02/20 12:36:09 AM,137.00,,,
139,01/02/20 02:00:20 AM,138.00,,,
140,01/02/20 02:10:54 AM,139.00,,,
141,01/02/20 02:28:39 AM,140.00,,,
142,01/02/20 02:32:31 AM,141.00,,,
143,01/02/20 02:39:27 AM,142.00,,,
144,01/02/20 02:45:33 AM,143.00,,,
145,01/02/20 03:21:36 AM,144.00,,,
146,01/02/20 04:29:49 AM,145.00,,,
147,01/02/20 04:48:11 AM,146.00,,,
148,01/02/20 04:59:48 AM,147.00,,,
149,01/02/20 05:19:26 AM,148.00,,,
150,01/02/20 05:30:37 AM,149.00,,,
151,01/02/20 06:04:44 AM,150.00,,,
152,01/02/20 06:29:43 AM,151.00,,,
153,01/02/20 06:45:14 AM,152.00,,,
154,01/02/20 07:03:41 AM,153.00,,,
155,01/02/20 07:27:48 AM,154.00,,,
156,01/02/20 07:40:38 AM,155.00,,,
157,01/02/20 07:58:23 AM,156.00,,,
158,01/02/20 08:06:54 AM,157.00,,,
159,01/02/20 08:21:30 AM,158.00,,,
160,01/02/20 08:34:07 AM,159.00,,,
161,01/02/20 08:44:30 AM,160.00,,,
162,01/02/20 08:53:07 AM,161.00,,,
163,01/02/20 09:07:54 AM,162.00,,,
164,01/02/20 11:46:05 AM,163.00,,,
165,01/03/20 05:11:36 PM,164.00,,,
166,01/03/20 08:48:46 PM,165.00,,,
167,01/03/20 08:55:44 PM,166.00,,,
168,01/03/20 09:06:14 PM,167.00,,,
169,01/03/20 09:15:20 PM,168.00,,,
170,01/03/20 09:56:04 PM,169.00,,,
171,01/03/20 10:04:48 PM,170.00,,,
172,01/03/20 10:14:23 PM,171.00,,,
173,01/03/20 10:24:19 PM,172.00,,,
174,01/03/20 10:32:29 PM,173.00,,,
175,01/03/20 10:45:26 PM,174.00,,,
176,01/03/20 10:49:07 PM,175.00,,,
177,01/03/20 10:54:31 PM,176.00,,,
178,01/03/20 10:57:55 PM,177.00,,,
179,01/03/20 11:02:19 PM,178.00,,,
180,01/03/20 11:06:33 PM,179.00,,,
181,01/03/20 11:10:25 PM,180.00,,,
182,01/03/20 11:13:21 PM,181.00,,,
183,01/03/20 11:16:28 PM,182.00,,,
184,01/03/20 11:18:23 PM,183.00,,,
185,01/03/20 11:21:01 PM,184.00,,,
186,01/03/20 11:23:34 PM,185.00,,,
187,01/03/20 11:27:12 PM,186.00,,,
188,01/03/20 11:30:02 PM,187.00,,,
189,01/03/20 11:33:58 PM,188.00,,,
190,01/03/20 11:36:24 PM,189.00,,,
191,01/03/20 11:39:34 PM,190.00,,,
192,01/03/20 11:41:21 PM,191.00,,,
193,01/03/20 11:43:50 PM,192.00,,,
194,01/03/20 11:45:34 PM,193.00,,,
195,01/03/20 11:48:24 PM,194.00,,,
196,01/03/20 11:50:24 PM,195.00,,,
197,01/03/20 11:52:36 PM,196.00,,,
198,01/03/20 11:54:58 PM,197.00,,,
199,01/03/20 11:58:25 PM,198.00,,,
200,01/04/20 12:00:36 AM,199.00,,,
201,01/04/20 12:03:22 AM,200.00,,,
202,01/04/20 12:05:13 AM,201.00,,,
203,01/04/20 12:06:48 AM,202.00,,,
204,01/04/20 12:08:35 AM,203.00,,,
205,01/04/20 12:11:12 AM,204.00,,,
206,01/04/20 12:13:26 AM,205.00,,,
207,01/04/20 12:17:24 AM,206.00,,,
208,01/04/20 12:19:51 AM,207.00,,,
209,01/04/20 12:22:57 AM,208.00,,,
210,01/04/20 12:25:20 AM,209.00,,,
211,01/04/20 12:28:46 AM,210.00,,,
212,01/04/20 12:30:49 AM,211.00,,,
213,01/04/20 12:33:07 AM,212.00,,,
214,01/04/20 12:34:49 AM,213.00,,,
215,01/04/20 12:37:37 AM,214.00,,,
216,01/04/20 12:40:15 AM,215.00,,,
217,01/04/20 12:43:58 AM,216.00,,,
218,01/04/20 12:46:43 AM,217.00,,,
219,01/04/20 12:50:27 AM,218.00,,,
220,01/04/20 12:52:46 AM,219.00,,,
221,01/04/20 12:56:17 AM,220.00,,,
222,01/04/20 12:58:15 AM,221.00,,,
223,01/04/20 01:03:29 AM,222.00,,,
224,01/04/20 01:08:12 AM,223.00,,,
225,01/04/20 01:14:14 AM,224.00,,,
226,01/04/20 01:17:45 AM,225.00,,,
227,01/04/20 01:21:05 AM,226.00,,,
228,01/04/20 01:25:30 AM,227.00,,,
229,01/04/20 01:31:48 AM,228.00,,,
230,01/04/20 01:36:26 AM,229.00,,,
231,01/04/20 01:42:32 AM,230.00,,,
232,01/04/20 01:46:02 AM,231.00,,,
233,01/04/20 01:50:29 AM,232.00,,,
234,01/04/20 01:55:54 AM,233.00,,,
235,01/04/20 02:01:25 AM,234.00,,,
236,01/04/20 02:10:42 AM,235.00,,,
237,01/04/20 02:18:32 AM,236.00,,,
238,01/04/20 02:29:38 AM,237.00,,,
239,01/04/20 03:16:18 AM,238.00,,,
240,01/04/20 03:42:48 AM,239.00,,,
241,01/04/20 04:03:19 AM,240.00,,,
242,01/04/20 04:30:33 AM,241.00,,,
243,01/04/20 05:43:37 AM,242.00,,,
244,01/04/20 08:24:14 PM,243.00,,,
245,01/04/20 09:07:08 PM,244.00,,,
246,01/04/20 09:13:22 PM,245.00,,,
247,01/04/20 09:21:55 PM,246.00,,,
248,01/04/20 09:26:08 PM,247.00,,,
249,01/04/20 09:30:48 PM,248.00,,,
250,01/04/20 09:34:42 PM,249.00,,,
251,01/04/20 09:40:37 PM,250.00,,,
252,01/04/20 09:44:07 PM,251.00,,,
253,01/04/20 09:48:45 PM,252.00,,,
254,01/04/20 09:51:26 PM,253.00,,,
255,01/04/20 09:55:57 PM,254.00,,,
256,01/04/20 09:59:06 PM,255.00,,,
257,01/04/20 10:02:09 PM,256.00,,,
258,01/04/20 10:04:26 PM,257.00,,,
259,01/04/20 10:06:57 PM,258.00,,,
260,01/04/20 10:10:39 PM,259.00,,,
261,01/04/20 10:16:00 PM,260.00,,,
262,01/04/20 10:19:22 PM,261.00,,,
263,01/04/20 10:20:59 PM,262.00,,,
264,01/04/20 10:22:42 PM,263.00,,,
265,01/04/20 10:25:22 PM,264.00,,,
266,01/04/20 10:26:52 PM,265.00,,,
267,01/04/20 10:28:18 PM,266.00,,,
268,01/04/20 10:29:32 PM,267.00,,,
269,01/04/20 10:31:39 PM,268.00,,,
270,01/04/20 10:33:00 PM,269.00,,,
271,01/04/20 10:34:15 PM,270.00,,,
272,01/04/20 10:35:23 PM,271.00,,,
273,01/04/20 10:37:17 PM,272.00,,,
274,01/04/20 10:38:39 PM,273.00,,,
275,01/04/20 10:40:13 PM,274.00,,,
276,01/04/20 10:41:33 PM,275.00,,,
277,01/04/20 10:43:34 PM,276.00,,,
278,01/04/20 10:44:42 PM,277.00,,,
279,01/04/20 10:46:17 PM,278.00,,,
280,01/04/20 10:47:07 PM,279.00,,,
281,01/04/20 10:49:01 PM,280.00,,,
282,01/04/20 10:50:33 PM,281.00,,,
283,01/04/20 10:52:12 PM,282.00,,,
284,01/04/20 10:53:44 PM,283.00,,,
285,01/04/20 10:55:17 PM,284.00,,,
286,01/04/20 10:56:35 PM,285.00,,,
287,01/04/20 10:58:13 PM,286.00,,,
288,01/04/20 10:59:33 PM,287.00,,,
289,01/04/20 11:01:23 PM,288.00,,,
290,01/04/20 11:02:36 PM,289.00,,,
291,01/04/20 11:04:13 PM,290.00,,,
292,01/04/20 11:05:35 PM,291.00,,,
293,01/04/20 11:06:55 PM,292.00,,,
294,01/04/20 11:08:14 PM,293.00,,,
295,01/04/20 11:10:33 PM,294.00,,,
296,01/04/20 11:11:48 PM,295.00,,,
297,01/04/20 11:13:49 PM,296.00,,,
298,01/04/20 11:15:00 PM,297.00,,,
299,01/04/20 11:17:04 PM,298.00,,,
300,01/04/20 11:18:25 PM,299.00,,,
301,01/04/20 11:20:18 PM,300.00,,,
302,01/04/20 11:21:55 PM,301.00,,,
303,01/04/20 11:25:01 PM,302.00,,,
304,01/04/20 11:27:59 PM,303.00,,,
305,01/04/20 11:32:56 PM,304.00,,,
306,01/04/20 11:36:17 PM,305.00,,,
307,01/04/20 11:40:13 PM,306.00,,,
308,01/04/20 11:42:52 PM,307.00,,,
309,01/04/20 11:46:32 PM,308.00,,,
310,01/04/20 11:49:48 PM,309.00,,,
311,01/04/20 11:52:14 PM,310.00,,,
312,01/04/20 11:54:17 PM,311.00,,,
313,01/04/20 11:58:04 PM,312.00,,,
314,01/05/20 12:01:03 AM,313.00,,,
315,01/05/20 12:04:12 AM,314.00,,,
316,01/05/20 12:07:18 AM,315.00,,,
317,01/05/20 12:11:48 AM,316.00,,,
318,01/05/20 12:15:10 AM,317.00,,,
319,01/05/20 12:19:19 AM,318.00,,,
320,01/05/20 12:22:28 AM,319.00,,,
321,01/05/20 12:26:54 AM,320.00,,,
322,01/05/20 12:29:26 AM,321.00,,,
323,01/05/20 12:34:00 AM,322.00,,,
324,01/05/20 12:37:43 AM,323.00,,,
325,01/05/20 12:41:26 AM,324.00,,,
326,01/05/20 12:43:50 AM,325.00,,,
327,01/05/20 12:47:25 AM,326.00,,,
328,01/05/20 12:50:25 AM,327.00,,,
329,01/05/20 12:54:16 AM,328.00,,,
330,01/05/20 12:56:44 AM,329.00,,,
331,01/05/20 01:00:14 AM,330.00,,,
332,01/05/20 01:03:01 AM,331.00,,,
333,01/05/20 01:08:42 AM,332.00,,,
334,01/05/20 01:11:50 AM,333.00,,,
335,01/05/20 01:13:53 AM,334.00,,,
336,01/05/20 01:15:41 AM,335.00,,,
337,01/05/20 01:19:57 AM,336.00,,,
338,01/05/20 01:24:18 AM,337.00,,,
339,01/05/20 01:28:25 AM,338.00,,,
340,01/05/20 01:30:48 AM,339.00,,,
341,01/05/20 01:35:46 AM,340.00,,,
342,01/05/20 01:38:44 AM,341.00,,,
343,01/05/20 01:42:31 AM,342.00,,,
344,01/05/20 01:46:16 AM,343.00,,,
345,01/05/20 01:50:18 AM,344.00,,,
346,01/05/20 01:54:08 AM,345.00,,,
347,01/05/20 02:00:35 AM,346.00,,,
348,01/05/20 02:05:48 AM,347.00,,,
349,01/05/20 02:13:40 AM,348.00,,,
350,01/05/20 02:22:28 AM,349.00,,,
351,01/05/20 02:33:26 AM,350.00,,,
352,01/05/20 02:40:44 AM,351.00,,,
353,01/05/20 02:49:25 AM,352.00,,,
354,01/05/20 03:06:35 AM,353.00,,,
355,01/05/20 03:31:29 AM,354.00,,,
356,01/05/20 03:55:43 AM,355.00,,,
357,01/05/20 04:15:51 AM,356.00,,,
358,01/05/20 04:30:45 AM,357.00,,,
359,01/05/20 04:54:18 AM,358.00,,,
360,01/05/20 06:06:46 AM,359.00,,,
361,01/05/20 06:24:09 AM,360.00,,,
362,01/05/20 06:49:43 AM,361.00,,,
363,01/05/20 07:10:25 AM,362.00,,,
364,01/05/20 07:33:08 AM,363.00,,,
365,01/05/20 07:44:40 AM,364.00,,,
366,01/05/20 07:55:38 AM,365.00,,,
367,01/05/20 08:25:29 AM,366.00,,,
368,01/05/20 04:54:03 PM,367.00,,,
369,01/05/20 05:00:36 PM,368.00,,,
370,01/05/20 05:12:36 PM,369.00,,,
371,01/05/20 05:25:03 PM,370.00,,,
372,01/05/20 05:30:44 PM,371.00,,,
373,01/05/20 05:34:21 PM,372.00,,,
374,01/05/20 05:37:26 PM,373.00,,,
375,01/05/20 05:47:03 PM,374.00,,,
376,01/05/20 05:54:40 PM,375.00,,,
377,01/05/20 06:00:45 PM,376.00,,,
378,01/05/20 06:06:26 PM,377.00,,,
379,01/05/20 06:15:43 PM,378.00,,,
380,01/05/20 06:28:09 PM,379.00,,,
381,01/05/20 06:47:01 PM,380.00,,,
382,01/05/20 06:57:57 PM,381.00,,,
383,01/05/20 07:05:06 PM,382.00,,,
384,01/05/20 07:07:46 PM,383.00,,,
385,01/05/20 07:12:03 PM,384.00,,,
386,01/05/20 07:14:29 PM,385.00,,,
387,01/05/20 07:18:10 PM,386.00,,,
388,01/05/20 07:22:06 PM,387.00,,,
389,01/05/20 07:38:30 PM,388.00,,,
390,01/09/20 02:37:26 PM,389.00,,,
391,01/09/20 02:51:23 PM,390.00,,,
392,01/09/20 03:13:37 PM,391.00,,,
393,01/09/20 03:17:31 PM,392.00,,,
394,01/09/20 03:19:44 PM,393.00,,,
395,01/09/20 03:23:31 PM,394.00,,,
396,01/09/20 03:39:02 PM,395.00,,,
397,01/14/20 01:33:03 PM,396.00,,,
398,01/14/20 03:16:51 PM,397.00,,,
399,01/15/20 06:24:31 AM,398.00,,,
400,01/15/20 06:32:29 AM,399.00,,,
401,01/15/20 07:05:35 AM,400.00,,,
402,01/15/20 07:44:40 AM,401.00,,,
