"Plot Title: Huancaro"
"#","Date Time, GMT-05:00","Event, units (LGR S/N: 20652619, SEN S/N: 20652619)","Coupler Attached (LGR S/N: 20652619)","Host Connected (LGR S/N: 20652619)","Coupler Detached (LGR S/N: 20652619)","End Of File (LGR S/N: 20652619)"
1,19-12-26 17:30:00,0.00,,,,
2,19-12-28 21:00:26,1.00,,,,
3,19-12-29 06:32:37,2.00,,,,
4,19-12-29 14:20:48,3.00,,,,
5,19-12-29 15:23:09,4.00,,,,
6,19-12-29 17:04:02,5.00,,,,
7,19-12-29 19:49:55,6.00,,,,
8,19-12-29 20:18:16,7.00,,,,
9,19-12-29 20:31:35,8.00,,,,
10,19-12-29 20:36:31,9.00,,,,
11,19-12-29 20:41:10,10.00,,,,
12,19-12-29 20:47:06,11.00,,,,
13,19-12-29 20:52:40,12.00,,,,
14,19-12-29 20:56:14,13.00,,,,
15,19-12-29 20:58:42,14.00,,,,
16,19-12-29 21:00:54,15.00,,,,
17,19-12-29 21:03:04,16.00,,,,
18,19-12-29 21:06:35,17.00,,,,
19,19-12-29 21:34:49,18.00,,,,
20,19-12-30 07:15:51,19.00,,,,
21,19-12-31 20:51:36,20.00,,,,
22,19-12-31 20:58:50,21.00,,,,
23,19-12-31 21:01:15,22.00,,,,
24,19-12-31 21:02:29,23.00,,,,
25,19-12-31 21:04:34,24.00,,,,
26,19-12-31 21:05:22,25.00,,,,
27,19-12-31 21:06:18,26.00,,,,
28,19-12-31 21:07:11,27.00,,,,
29,19-12-31 21:08:33,28.00,,,,
30,19-12-31 21:09:07,29.00,,,,
31,19-12-31 21:10:02,30.00,,,,
32,19-12-31 21:10:44,31.00,,,,
33,19-12-31 21:11:46,32.00,,,,
34,19-12-31 21:12:16,33.00,,,,
35,19-12-31 21:12:58,34.00,,,,
36,19-12-31 21:13:20,35.00,,,,
37,19-12-31 21:14:11,36.00,,,,
38,19-12-31 21:14:47,37.00,,,,
39,19-12-31 21:15:35,38.00,,,,
40,19-12-31 21:16:07,39.00,,,,
41,19-12-31 21:16:55,40.00,,,,
42,19-12-31 21:17:36,41.00,,,,
43,19-12-31 21:18:46,42.00,,,,
44,19-12-31 21:19:43,43.00,,,,
45,19-12-31 21:21:01,44.00,,,,
46,19-12-31 21:22:04,45.00,,,,
47,19-12-31 21:23:31,46.00,,,,
48,19-12-31 21:25:01,47.00,,,,
49,19-12-31 21:27:03,48.00,,,,
50,19-12-31 21:29:09,49.00,,,,
51,19-12-31 21:32:21,50.00,,,,
52,19-12-31 21:34:35,51.00,,,,
53,19-12-31 21:37:14,52.00,,,,
54,19-12-31 21:39:01,53.00,,,,
55,19-12-31 21:43:04,54.00,,,,
56,19-12-31 21:46:51,55.00,,,,
57,19-12-31 21:50:21,56.00,,,,
58,19-12-31 21:53:28,57.00,,,,
59,19-12-31 21:56:17,58.00,,,,
60,19-12-31 21:59:10,59.00,,,,
61,19-12-31 22:02:39,60.00,,,,
62,19-12-31 22:05:55,61.00,,,,
63,19-12-31 22:10:25,62.00,,,,
64,19-12-31 22:13:19,63.00,,,,
65,19-12-31 22:16:41,64.00,,,,
66,19-12-31 22:18:27,65.00,,,,
67,19-12-31 22:20:22,66.00,,,,
68,19-12-31 22:21:55,67.00,,,,
69,19-12-31 22:23:34,68.00,,,,
70,19-12-31 22:24:57,69.00,,,,
71,19-12-31 22:26:58,70.00,,,,
72,19-12-31 22:28:02,71.00,,,,
73,19-12-31 22:29:17,72.00,,,,
74,19-12-31 22:30:05,73.00,,,,
75,19-12-31 22:31:52,74.00,,,,
76,19-12-31 22:33:14,75.00,,,,
77,19-12-31 22:34:42,76.00,,,,
78,19-12-31 22:35:53,77.00,,,,
79,19-12-31 22:37:21,78.00,,,,
80,19-12-31 22:38:51,79.00,,,,
81,19-12-31 22:40:40,80.00,,,,
82,19-12-31 22:42:00,81.00,,,,
83,19-12-31 22:44:10,82.00,,,,
84,19-12-31 22:46:16,83.00,,,,
85,19-12-31 22:48:07,84.00,,,,
86,19-12-31 22:49:24,85.00,,,,
87,19-12-31 22:52:21,86.00,,,,
88,19-12-31 22:54:45,87.00,,,,
89,19-12-31 22:57:09,88.00,,,,
90,19-12-31 22:59:06,89.00,,,,
91,19-12-31 23:01:26,90.00,,,,
92,19-12-31 23:03:08,91.00,,,,
93,19-12-31 23:06:28,92.00,,,,
94,19-12-31 23:09:36,93.00,,,,
95,19-12-31 23:14:55,94.00,,,,
96,19-12-31 23:18:05,95.00,,,,
97,19-12-31 23:20:49,96.00,,,,
98,19-12-31 23:23:33,97.00,,,,
99,19-12-31 23:26:24,98.00,,,,
100,19-12-31 23:28:41,99.00,,,,
101,19-12-31 23:32:42,100.00,,,,
102,19-12-31 23:35:34,101.00,,,,
103,19-12-31 23:39:10,102.00,,,,
104,19-12-31 23:42:14,103.00,,,,
105,19-12-31 23:46:39,104.00,,,,
106,19-12-31 23:49:49,105.00,,,,
107,19-12-31 23:54:12,106.00,,,,
108,19-12-31 23:58:04,107.00,,,,
109,20-01-01 00:01:49,108.00,,,,
110,20-01-01 00:04:20,109.00,,,,
111,20-01-01 00:07:16,110.00,,,,
112,20-01-01 00:10:02,111.00,,,,
113,20-01-01 00:15:00,112.00,,,,
114,20-01-01 00:20:01,113.00,,,,
115,20-01-01 00:32:29,114.00,,,,
116,20-01-01 00:40:18,115.00,,,,
117,20-01-01 00:56:04,116.00,,,,
118,20-01-01 01:16:58,117.00,,,,
119,20-01-01 05:29:36,118.00,,,,
120,20-01-01 20:34:38,119.00,,,,
121,20-01-01 20:36:35,120.00,,,,
122,20-01-01 20:46:28,121.00,,,,
123,20-01-01 22:12:18,122.00,,,,
124,20-01-01 22:31:53,123.00,,,,
125,20-01-01 22:45:49,124.00,,,,
126,20-01-01 22:47:24,125.00,,,,
127,20-01-01 22:49:52,126.00,,,,
128,20-01-01 22:51:06,127.00,,,,
129,20-01-01 22:55:14,128.00,,,,
130,20-01-01 23:00:54,129.00,,,,
131,20-01-01 23:11:54,130.00,,,,
132,20-01-01 23:18:22,131.00,,,,
133,20-01-01 23:22:46,132.00,,,,
134,20-01-01 23:26:02,133.00,,,,
135,20-01-01 23:35:35,134.00,,,,
136,20-01-01 23:53:42,135.00,,,,
137,20-01-02 00:18:00,136.00,,,,
138,20-01-02 00:36:09,137.00,,,,
139,20-01-02 02:00:20,138.00,,,,
140,20-01-02 02:10:54,139.00,,,,
141,20-01-02 02:28:39,140.00,,,,
142,20-01-02 02:32:31,141.00,,,,
143,20-01-02 02:39:27,142.00,,,,
144,20-01-02 02:45:33,143.00,,,,
145,20-01-02 03:21:36,144.00,,,,
146,20-01-02 04:29:49,145.00,,,,
147,20-01-02 04:48:11,146.00,,,,
148,20-01-02 04:59:48,147.00,,,,
149,20-01-02 05:19:26,148.00,,,,
150,20-01-02 05:30:37,149.00,,,,
151,20-01-02 06:04:44,150.00,,,,
152,20-01-02 06:29:43,151.00,,,,
153,20-01-02 06:45:14,152.00,,,,
154,20-01-02 07:03:41,153.00,,,,
